state,sec,Count
GUERRERO,SECTOR 72,24
GUERRERO,SECTOR 81,13
HIDALGO,SECTOR 11,48
HIDALGO,SECTOR 21,11
HIDALGO,SECTOR 22,0
HIDALGO,SECTOR 23,0
HIDALGO,SECTOR 31-33,24
HIDALGO,SECTOR 43,13
HIDALGO,SECTOR 46,21
HIDALGO,SECTOR 48-49,14
HIDALGO,SECTOR 51,1
HIDALGO,SECTOR 52,43
HIDALGO,SECTOR 53,4
HIDALGO,SECTOR 54,4
HIDALGO,SECTOR 56,4
HIDALGO,SECTOR 61,0
HIDALGO,SECTOR 62,2
HIDALGO,SECTOR 71,1
HIDALGO,SECTOR 72,8
HIDALGO,SECTOR 81,12
JALISCO,SECTOR 11,252
JALISCO,SECTOR 21,2
JALISCO,SECTOR 22,0
JALISCO,SECTOR 23,0
JALISCO,SECTOR 31-33,51
JALISCO,SECTOR 43,41
JALISCO,SECTOR 46,55
JALISCO,SECTOR 48-49,27
JALISCO,SECTOR 51,1
JALISCO,SECTOR 52,425
JALISCO,SECTOR 53,16
JALISCO,SECTOR 54,19
JALISCO,SECTOR 55,0
JALISCO,SECTOR 56,14
JALISCO,SECTOR 61,7
JALISCO,SECTOR 62,6
JALISCO,SECTOR 71,8
JALISCO,SECTOR 72,25
JALISCO,SECTOR 81,41
MEXICO,SECTOR 11,10
MEXICO,SECTOR 21,2
MEXICO,SECTOR 22,1
MEXICO,SECTOR 23,0
MEXICO,SECTOR 31-33,28
MEXICO,SECTOR 43,27
MEXICO,SECTOR 46,53
MEXICO,SECTOR 48-49,15
MEXICO,SECTOR 51,2
MEXICO,SECTOR 52,57
MEXICO,SECTOR 53,12
MEXICO,SECTOR 54,7
MEXICO,SECTOR 55,0
MEXICO,SECTOR 56,8
MEXICO,SECTOR 61,13
MEXICO,SECTOR 62,22
MEXICO,SECTOR 71,10
MEXICO,SECTOR 72,31
MEXICO,SECTOR 81,33
MICHOACAN,SECTOR 11,168
MICHOACAN,SECTOR 21,4
MICHOACAN,SECTOR 22,0
MICHOACAN,SECTOR 23,0
MICHOACAN,SECTOR 31-33,17
MICHOACAN,SECTOR 43,12
MICHOACAN,SECTOR 46,25
MICHOACAN,SECTOR 48-49,19
MICHOACAN,SECTOR 51,1
MICHOACAN,SECTOR 52,194
MICHOACAN,SECTOR 53,3
MICHOACAN,SECTOR 54,5
MICHOACAN,SECTOR 55,0
MICHOACAN,SECTOR 56,3
MICHOACAN,SECTOR 61,4
MICHOACAN,SECTOR 62,6
MICHOACAN,SECTOR 71,6
MICHOACAN,SECTOR 72,12
MICHOACAN,SECTOR 81,40
MORELOS,SECTOR 11,0
MORELOS,SECTOR 21,0
MORELOS,SECTOR 22,3
MORELOS,SECTOR 23,0
MORELOS,SECTOR 31-33,7
MORELOS,SECTOR 43,10
MORELOS,SECTOR 46,16
MORELOS,SECTOR 48-49,3
MORELOS,SECTOR 51,0
MORELOS,SECTOR 52,40
MORELOS,SECTOR 53,2
MORELOS,SECTOR 54,1
